,place,name,year,month,visitors
0,1 ,Sex On The Beach,2007,February,1239
1,2 ,Caipirinha,2007,February,829
2,3 ,Long Island Icetea,2007,February,744
3,4 ,Baby Aspirin,2007,February,720
4,5 ,May Tai,2007,February,672
5,6 ,Zombie,2007,February,607
6,7 ,Sex On The Beach 3,2007,February,442
7,8 ,Mojito original,2007,February,441
8,9 ,'57 Chevy,2007,February,400
9,10 ,White Russian (der Echte!),2007,February,393
0,1 ,Sex On The Beach,2007,March,1352
1,2 ,Caipirinha,2007,March,812
2,3 ,Long Island Icetea,2007,March,754
3,4 ,Baby Aspirin,2007,March,727
4,5 ,May Tai,2007,March,689
5,6 ,Zombie,2007,March,639
6,7 ,Mojito original,2007,March,483
7,8 ,White Russian (der Echte!),2007,March,459
8,9 ,Sex On The Beach 3,2007,March,447
9,10 ,Absinth,2007,March,389
0,1 ,Sex On The Beach,2007,April,1178
1,2 ,Caipirinha,2007,April,733
2,3 ,Long Island Icetea,2007,April,728
3,4 ,May Tai,2007,April,671
4,5 ,Baby Aspirin,2007,April,631
5,6 ,Zombie,2007,April,552
6,7 ,Mojito original,2007,April,513
7,8 ,Sex On The Beach 3,2007,April,400
8,9 ,White Russian (der Echte!),2007,April,397
9,10 ,'57 Chevy,2007,April,344
0,1 ,Sex On The Beach,2007,May,1730
1,2 ,Caipirinha,2007,May,1092
2,3 ,Long Island Icetea,2007,May,961
3,4 ,Baby Aspirin,2007,May,925
4,5 ,May Tai,2007,May,886
5,6 ,Erdbeerbowle,2007,May,865
6,7 ,Zombie,2007,May,773
7,8 ,Mojito original,2007,May,745
8,9 ,Sex On The Beach 3,2007,May,556
9,10 ,'57 Chevy,2007,May,484
0,1 ,Sex On The Beach,2007,June,1186
1,2 ,Erdbeerbowle,2007,June,974
2,3 ,Caipirinha,2007,June,779
3,4 ,May Tai,2007,June,682
4,5 ,Baby Aspirin,2007,June,658
5,6 ,Mojito original,2007,June,652
6,7 ,Zombie,2007,June,599
7,8 ,Sex On The Beach 3,2007,June,414
8,9 ,White Russian (der Echte!),2007,June,360
9,10 ,'57 Chevy,2007,June,358
0,1 ,Sex On The Beach,2007,July,968
1,2 ,Caipirinha,2007,July,764
2,3 ,Long Island Icetea,2007,July,663
3,4 ,May Tai,2007,July,627
4,5 ,Baby Aspirin,2007,July,602
5,6 ,Zombie,2007,July,587
6,7 ,Mojito original,2007,July,530
7,8 ,Sex On The Beach 3,2007,July,382
8,9 ,White Russian (der Echte!),2007,July,381
9,10 ,'57 Chevy,2007,July,338
0,1 ,Sex On The Beach,2007,August,1066
1,2 ,Caipirinha,2007,August,779
2,3 ,Long Island Icetea,2007,August,636
3,4 ,May Tai,2007,August,593
4,5 ,Baby Aspirin,2007,August,587
5,6 ,Mojito original,2007,August,573
6,7 ,Kaukasier,2007,August,553
7,8 ,Zombie,2007,August,545
8,9 ,Sex On The Beach 3,2007,August,375
9,10 ,White Russian (der Echte!),2007,August,361
0,1 ,Sex On The Beach,2007,September,907
1,2 ,Caipirinha,2007,September,611
2,3 ,Long Island Icetea,2007,September,534
3,4 ,Kaukasier,2007,September,517
4,5 ,Baby Aspirin,2007,September,512
5,6 ,May Tai,2007,September,480
6,7 ,Zombie,2007,September,431
7,8 ,Mojito original,2007,September,374
8,9 ,White Russian (der Echte!),2007,September,298
9,10 ,'57 Chevy,2007,September,294
0,1 ,Sex On The Beach,2007,October,1062
1,2 ,Caipirinha,2007,October,643
2,3 ,Baby Aspirin,2007,October,607
3,4 ,Long Island Icetea,2007,October,593
4,5 ,May Tai,2007,October,575
5,6 ,Zombie,2007,October,540
6,7 ,Mojito original,2007,October,428
7,8 ,'57 Chevy,2007,October,354
8,9 ,Sex On The Beach 3,2007,October,339
9,10 ,White Russian (der Echte!),2007,October,319
0,1 ,Sex On The Beach,2007,November,1047
1,2 ,Caipirinha,2007,November,691
2,3 ,Long Island Icetea,2007,November,638
3,4 ,May Tai,2007,November,555
4,5 ,Zombie,2007,November,543
5,6 ,Baby Aspirin,2007,November,524
6,7 ,Mojito original,2007,November,435
7,8 ,White Russian (der Echte!),2007,November,367
8,9 ,Sex On The Beach 3,2007,November,331
9,10 ,Absinth,2007,November,329
0,1 ,Caipirinha,2007,December,759
1,2 ,Long Island Icetea,2007,December,640
2,3 ,Baby Aspirin,2007,December,627
3,4 ,May Tai,2007,December,601
4,5 ,Zombie,2007,December,542
5,6 ,Mojito original,2007,December,501
6,7 ,Sex On The Beach 3,2007,December,390
7,8 ,White Russian (der Echte!),2007,December,357
8,9 ,'57 Chevy,2007,December,322
9,10 ,Sex On The Beach,2007,December,300
0,1 ,Sex On The Beach,2008,total,11108
1,2 ,Caipirinha,2008,total,7656
2,3 ,Long Island Icetea,2008,total,6783
3,4 ,Baby Aspirin,2008,total,6243
4,5 ,May Tai,2008,total,6213
5,6 ,Zombie,2008,total,5592
6,7 ,Mojito original,2008,total,5278
7,8 ,'57 Chevy,2008,total,3701
8,9 ,Sex On The Beach 3,2008,total,3218
9,10 ,White Russian (der Echte!),2008,total,3149
0,1 ,Sex On The Beach,2008,January,1141
1,2 ,Caipirinha,2008,January,677
2,3 ,Baby Aspirin,2008,January,643
3,4 ,Zombie,2008,January,629
4,5 ,May Tai,2008,January,609
5,6 ,Long Island Icetea,2008,January,602
6,7 ,Mojito original,2008,January,461
7,8 ,'57 Chevy,2008,January,375
8,9 ,Absinth,2008,January,321
9,10 ,White Russian (der Echte!),2008,January,301
0,1 ,Sex On The Beach,2008,February,895
1,2 ,Caipirinha,2008,February,603
2,3 ,Baby Aspirin,2008,February,571
3,4 ,Long Island Icetea,2008,February,551
4,5 ,May Tai,2008,February,540
5,6 ,Zombie,2008,February,524
6,7 ,Mojito original,2008,February,401
7,8 ,'57 Chevy,2008,February,331
8,9 ,Sex On The Beach 3,2008,February,304
9,10 ,White Russian (der Echte!),2008,February,278
0,1 ,Sex On The Beach,2008,March,923
1,2 ,Caipirinha,2008,March,705
2,3 ,Long Island Icetea,2008,March,563
3,4 ,Baby Aspirin,2008,March,537
4,5 ,Zombie,2008,March,517
5,6 ,May Tai,2008,March,503
6,7 ,Mojito original,2008,March,426
7,8 ,'57 Chevy,2008,March,317
8,9 ,Absinth,2008,March,274
9,10 ,Sex On The Beach 3,2008,March,273
0,1 ,Sex On The Beach,2008,April,1096
1,2 ,Caipirinha,2008,April,725
2,3 ,Long Island Icetea,2008,April,598
3,4 ,Baby Aspirin,2008,April,558
4,5 ,May Tai,2008,April,551
5,6 ,Zombie,2008,April,543
6,7 ,Mojito original,2008,April,450
7,8 ,'57 Chevy,2008,April,324
8,9 ,Sex On The Beach 3,2008,April,319
9,10 ,White Russian (der Echte!),2008,April,277
0,1 ,Sex On The Beach,2008,May,1027
1,2 ,Caipirinha,2008,May,650
2,3 ,Long Island Icetea,2008,May,579
3,4 ,May Tai,2008,May,552
4,5 ,Baby Aspirin,2008,May,528
5,6 ,Mojito original,2008,May,476
6,7 ,White Russian (der Echte!),2008,May,415
7,8 ,Sex On The Beach 3,2008,May,318
8,9 ,'57 Chevy,2008,May,294
9,10 ,Absinth,2008,May,276
0,1 ,Sex On The Beach,2008,June,939
1,2 ,Caipirinha,2008,June,648
2,3 ,Long Island Icetea,2008,June,545
3,4 ,Baby Aspirin,2008,June,494
4,5 ,May Tai,2008,June,487
5,6 ,Zombie,2008,June,463
6,7 ,Mojito original,2008,June,457
7,8 ,Sex On The Beach 3,2008,June,288
8,9 ,'57 Chevy,2008,June,274
9,10 ,White Russian (der Echte!),2008,June,267
0,1 ,Sex On The Beach,2008,July,960
1,2 ,Caipirinha,2008,July,743
2,3 ,May Tai,2008,July,603
3,4 ,Long Island Icetea,2008,July,602
4,5 ,Baby Aspirin,2008,July,562
5,6 ,Mojito original,2008,July,560
6,7 ,Zombie,2008,July,550
7,8 ,'57 Chevy,2008,July,348
8,9 ,Sex On The Beach 3,2008,July,323
9,10 ,White Russian (der Echte!),2008,July,311
0,1 ,Sex On The Beach,2008,August,769
1,2 ,Caipirinha,2008,August,626
2,3 ,Long Island Icetea,2008,August,482
3,4 ,Baby Aspirin,2008,August,443
4,5 ,Mojito original,2008,August,440
5,6 ,May Tai,2008,August,433
6,7 ,Zombie,2008,August,416
7,8 ,'57 Chevy,2008,August,271
8,9 ,Sex On The Beach 3,2008,August,253
9,10 ,Mojito,2008,August,230
0,1 ,Sex On The Beach,2008,September,854
1,2 ,Long Island Icetea,2008,September,592
2,3 ,Caipirinha,2008,September,588
3,4 ,Baby Aspirin,2008,September,500
4,5 ,Zombie,2008,September,481
5,6 ,May Tai,2008,September,479
6,7 ,Mojito original,2008,September,435
7,8 ,'57 Chevy,2008,September,287
8,9 ,Sex On The Beach 3,2008,September,219
9,10 ,Highfly,2008,September,216
0,1 ,Sex On The Beach,2008,October,827
1,2 ,Long Island Icetea,2008,October,604
2,3 ,Caipirinha,2008,October,570
3,4 ,May Tai,2008,October,509
4,5 ,Baby Aspirin,2008,October,500
5,6 ,Zombie,2008,October,468
6,7 ,Mojito original,2008,October,406
7,8 ,'57 Chevy,2008,October,303
8,9 ,Sex On The Beach 3,2008,October,239
9,10 ,Absinth,2008,October,223
0,1 ,Sex On The Beach,2008,November,790
1,2 ,Caipirinha,2008,November,520
2,3 ,Long Island Icetea,2008,November,518
3,4 ,May Tai,2008,November,454
4,5 ,Zombie,2008,November,448
5,6 ,Baby Aspirin,2008,November,445
6,7 ,Mojito original,2008,November,345
7,8 ,'57 Chevy,2008,November,270
8,9 ,Sex On The Beach 3,2008,November,239
9,10 ,Absinth,2008,November,225
0,1 ,Sex On The Beach,2008,December,887
1,2 ,Caipirinha,2008,December,601
2,3 ,Long Island Icetea,2008,December,547
3,4 ,May Tai,2008,December,493
4,5 ,Zombie,2008,December,492
5,6 ,Baby Aspirin,2008,December,462
6,7 ,Mojito original,2008,December,421
7,8 ,'57 Chevy,2008,December,307
8,9 ,Sex On The Beach 3,2008,December,269
9,10 ,White Russian (der Echte!),2008,December,227
0,1 ,Sex On The Beach,2009,total,8459
1,2 ,Caipirinha,2009,total,6144
2,3 ,Long Island Icetea,2009,total,5425
3,4 ,Zombie,2009,total,5089
4,5 ,May Tai,2009,total,5035
5,6 ,Baby Aspirin,2009,total,4735
6,7 ,Mojito original,2009,total,4579
7,8 ,'57 Chevy,2009,total,3043
8,9 ,Seven and Seven,2009,total,2629
9,10 ,Sex On The Beach 3,2009,total,2628
0,1 ,Sex On The Beach,2009,January,834
1,2 ,Caipirinha,2009,January,559
2,3 ,Long Island Icetea,2009,January,483
3,4 ,May Tai,2009,January,483
4,5 ,Zombie,2009,January,450
5,6 ,Baby Aspirin,2009,January,447
6,7 ,Mojito original,2009,January,372
7,8 ,'57 Chevy,2009,January,279
8,9 ,Sex On The Beach 3,2009,January,237
9,10 ,White Russian (der Echte!),2009,January,227
0,1 ,Sex On The Beach,2009,February,724
1,2 ,Caipirinha,2009,February,477
2,3 ,Zombie,2009,February,450
3,4 ,Baby Aspirin,2009,February,414
4,5 ,Long Island Icetea,2009,February,406
5,6 ,May Tai,2009,February,391
6,7 ,Mojito original,2009,February,333
7,8 ,'57 Chevy,2009,February,267
8,9 ,Seven and Seven,2009,February,236
9,10 ,Sex On The Beach 3,2009,February,224
0,1 ,Sex On The Beach,2009,March,857
1,2 ,Caipirinha,2009,March,600
2,3 ,Long Island Icetea,2009,March,536
3,4 ,Baby Aspirin,2009,March,480
4,5 ,May Tai,2009,March,475
5,6 ,Zombie,2009,March,468
6,7 ,Mojito original,2009,March,398
7,8 ,'57 Chevy,2009,March,298
8,9 ,Sex On The Beach 3,2009,March,267
9,10 ,White Russian (der Echte!),2009,March,248
0,1 ,Sex On The Beach,2009,April,701
1,2 ,Caipirinha,2009,April,515
2,3 ,Long Island Icetea,2009,April,440
3,4 ,May Tai,2009,April,434
4,5 ,Baby Aspirin,2009,April,373
5,6 ,Mojito original,2009,April,362
6,7 ,Zombie,2009,April,351
7,8 ,Seven and Seven,2009,April,253
8,9 ,Sex On The Beach 3,2009,April,206
9,10 ,'57 Chevy,2009,April,204
0,1 ,Sex On The Beach,2009,May,569
1,2 ,Caipirinha,2009,May,537
2,3 ,Long Island Icetea,2009,May,508
3,4 ,Zombie,2009,May,474
4,5 ,May Tai,2009,May,453
5,6 ,Mojito original,2009,May,440
6,7 ,Baby Aspirin,2009,May,322
7,8 ,'57 Chevy,2009,May,257
8,9 ,Sex On The Beach 3,2009,May,240
9,10 ,Mojito,2009,May,219
0,1 ,Sex On The Beach,2009,June,731
1,2 ,Caipirinha,2009,June,532
2,3 ,Long Island Icetea,2009,June,437
3,4 ,May Tai,2009,June,400
4,5 ,Mojito original,2009,June,397
5,6 ,Zombie,2009,June,379
6,7 ,Baby Aspirin,2009,June,379
7,8 ,Seven and Seven,2009,June,327
8,9 ,'57 Chevy,2009,June,236
9,10 ,Mojito,2009,June,212
0,1 ,Sex On The Beach,2009,July,668
1,2 ,Caipirinha,2009,July,573
2,3 ,Mojito original,2009,July,446
3,4 ,Long Island Icetea,2009,July,440
4,5 ,May Tai,2009,July,412
5,6 ,Baby Aspirin,2009,July,408
6,7 ,Zombie,2009,July,398
7,8 ,'57 Chevy,2009,July,255
8,9 ,Seven and Seven,2009,July,244
9,10 ,Mojito,2009,July,231
0,1 ,Sex On The Beach,2009,August,664
1,2 ,Caipirinha,2009,August,512
2,3 ,Long Island Icetea,2009,August,460
3,4 ,Zombie,2009,August,447
4,5 ,May Tai,2009,August,419
5,6 ,Mojito original,2009,August,413
6,7 ,Baby Aspirin,2009,August,380
7,8 ,Seven and Seven,2009,August,281
8,9 ,'57 Chevy,2009,August,229
9,10 ,Sex On The Beach 3,2009,August,218
0,1 ,Sex On The Beach,2009,September,673
1,2 ,Caipirinha,2009,September,446
2,3 ,Long Island Icetea,2009,September,439
3,4 ,Zombie,2009,September,409
4,5 ,Baby Aspirin,2009,September,392
5,6 ,May Tai,2009,September,371
6,7 ,Mojito original,2009,September,362
7,8 ,'57 Chevy,2009,September,239
8,9 ,Sex On The Beach 3,2009,September,192
9,10 ,Mojito,2009,September,185
0,1 ,Sex On The Beach,2009,October,694
1,2 ,Caipirinha,2009,October,458
2,3 ,Long Island Icetea,2009,October,447
3,4 ,Zombie,2009,October,433
4,5 ,May Tai,2009,October,386
5,6 ,Baby Aspirin,2009,October,380
6,7 ,Mojito original,2009,October,344
7,8 ,'57 Chevy,2009,October,272
8,9 ,Sex On The Beach 3,2009,October,207
9,10 ,White Russian (der Echte!),2009,October,181
0,1 ,Sex On The Beach,2009,November,685
1,2 ,Caipirinha,2009,November,466
2,3 ,Long Island Icetea,2009,November,410
3,4 ,Zombie,2009,November,409
4,5 ,May Tai,2009,November,387
5,6 ,Baby Aspirin,2009,November,378
6,7 ,Mojito original,2009,November,351
7,8 ,'57 Chevy,2009,November,229
8,9 ,Seven and Seven,2009,November,222
9,10 ,Sex On The Beach 3,2009,November,188
0,1 ,Sex On The Beach,2009,December,659
1,2 ,Caipirinha,2009,December,469
2,3 ,May Tai,2009,December,424
3,4 ,Zombie,2009,December,421
4,5 ,Long Island Icetea,2009,December,419
5,6 ,Baby Aspirin,2009,December,382
6,7 ,Mojito original,2009,December,361
7,8 ,'57 Chevy,2009,December,278
8,9 ,Dream Cocktail,2009,December,237
9,10 ,Seven and Seven,2009,December,211
0,1 ,Sex On The Beach,2010,total,6975
1,2 ,Caipirinha,2010,total,4655
2,3 ,Long Island Icetea,2010,total,4528
3,4 ,May Tai,2010,total,4295
4,5 ,Baby Aspirin,2010,total,4281
5,6 ,Zombie,2010,total,4248
6,7 ,Mojito original,2010,total,3527
7,8 ,'57 Chevy,2010,total,2863
8,9 ,Highfly,2010,total,2314
9,10 ,Sex On The Beach 3,2010,total,1925
0,1 ,Sex On The Beach,2010,January,684
1,2 ,Long Island Icetea,2010,January,444
2,3 ,Caipirinha,2010,January,443
3,4 ,May Tai,2010,January,414
4,5 ,Zombie,2010,January,411
5,6 ,Baby Aspirin,2010,January,397
6,7 ,Mojito original,2010,January,290
7,8 ,'57 Chevy,2010,January,251
8,9 ,Seven and Seven,2010,January,237
9,10 ,White Russian (der Echte!),2010,January,207
0,1 ,Sex On The Beach,2010,February,617
1,2 ,Caipirinha,2010,February,388
2,3 ,Long Island Icetea,2010,February,375
3,4 ,Zombie,2010,February,354
4,5 ,May Tai,2010,February,347
5,6 ,Baby Aspirin,2010,February,311
6,7 ,Mojito original,2010,February,280
7,8 ,'57 Chevy,2010,February,236
8,9 ,Seven and Seven,2010,February,178
9,10 ,Sex On The Beach 3,2010,February,173
0,1 ,Sex On The Beach,2010,March,649
1,2 ,Zombie,2010,March,402
2,3 ,Caipirinha,2010,March,402
3,4 ,Long Island Icetea,2010,March,390
4,5 ,May Tai,2010,March,372
5,6 ,Baby Aspirin,2010,March,359
6,7 ,Mojito original,2010,March,309
7,8 ,'57 Chevy,2010,March,263
8,9 ,Sex On The Beach 3,2010,March,179
9,10 ,White Russian (der Echte!),2010,March,174
0,1 ,Sex On The Beach,2010,April,550
1,2 ,Long Island Icetea,2010,April,386
2,3 ,Zombie,2010,April,358
3,4 ,Caipirinha,2010,April,352
4,5 ,May Tai,2010,April,338
5,6 ,Baby Aspirin,2010,April,320
6,7 ,'57 Chevy,2010,April,215
7,8 ,Sex On The Beach 3,2010,April,174
8,9 ,Strawberry Pineapple Milk Shake,2010,April,173
9,10 ,Highfly,2010,April,156
0,1 ,Sex On The Beach,2010,May,621
1,2 ,Caipirinha,2010,May,410
2,3 ,Long Island Icetea,2010,May,379
3,4 ,May Tai,2010,May,367
4,5 ,Baby Aspirin,2010,May,362
5,6 ,Zombie,2010,May,361
6,7 ,Mojito original,2010,May,354
7,8 ,'57 Chevy,2010,May,231
8,9 ,Sex On The Beach 3,2010,May,187
9,10 ,Mojito,2010,May,173
0,1 ,Sex On The Beach,2010,June,555
1,2 ,Long Island Icetea,2010,June,351
2,3 ,Mojito original,2010,June,350
3,4 ,Caipirinha,2010,June,345
4,5 ,Baby Aspirin,2010,June,321
5,6 ,May Tai,2010,June,314
6,7 ,Zombie,2010,June,292
7,8 ,Mojito,2010,June,191
8,9 ,'57 Chevy,2010,June,180
9,10 ,Sex On The Beach 3,2010,June,178
0,1 ,Sex On The Beach,2010,July,431
1,2 ,Caipirinha,2010,July,355
2,3 ,Mojito original,2010,July,333
3,4 ,Baby Aspirin,2010,July,286
4,5 ,Long Island Icetea,2010,July,283
5,6 ,Zombie,2010,July,276
6,7 ,May Tai,2010,July,271
7,8 ,'57 Chevy,2010,July,196
8,9 ,Mojito,2010,July,161
9,10 ,Highfly,2010,July,160
0,1 ,Sex On The Beach,2010,August,606
1,2 ,Caipirinha,2010,August,460
2,3 ,Baby Aspirin,2010,August,429
3,4 ,Long Island Icetea,2010,August,428
4,5 ,May Tai,2010,August,417
5,6 ,Zombie,2010,August,405
6,7 ,Mojito original,2010,August,360
7,8 ,Highfly,2010,August,294
8,9 ,'57 Chevy,2010,August,285
9,10 ,Pina Colada,2010,August,248
0,1 ,Sex On The Beach,2010,September,596
1,2 ,Caipirinha,2010,September,405
2,3 ,Baby Aspirin,2010,September,403
3,4 ,Long Island Icetea,2010,September,393
4,5 ,May Tai,2010,September,370
5,6 ,Zombie,2010,September,347
6,7 ,Mojito original,2010,September,291
7,8 ,'57 Chevy,2010,September,259
8,9 ,Highfly,2010,September,251
9,10 ,Pina Colada,2010,September,188
0,1 ,Sex On The Beach,2010,October,567
1,2 ,Caipirinha,2010,October,377
2,3 ,May Tai,2010,October,373
3,4 ,Long Island Icetea,2010,October,367
4,5 ,Baby Aspirin,2010,October,349
5,6 ,Zombie,2010,October,348
6,7 ,Mojito original,2010,October,288
7,8 ,'57 Chevy,2010,October,258
8,9 ,Highfly,2010,October,234
9,10 ,Pina Colada,2010,October,169
0,1 ,Sex On The Beach,2010,November,569
1,2 ,Long Island Icetea,2010,November,367
2,3 ,Baby Aspirin,2010,November,362
3,4 ,Caipirinha,2010,November,362
4,5 ,Zombie,2010,November,355
5,6 ,May Tai,2010,November,349
6,7 ,Mojito original,2010,November,271
7,8 ,'57 Chevy,2010,November,241
8,9 ,Highfly,2010,November,231
9,10 ,Pina Colada,2010,November,172
0,1 ,Sex On The Beach,2010,December,530
1,2 ,Baby Aspirin,2010,December,382
2,3 ,Long Island Icetea,2010,December,365
3,4 ,May Tai,2010,December,363
4,5 ,Caipirinha,2010,December,356
5,6 ,Zombie,2010,December,339
6,7 ,Mojito original,2010,December,306
7,8 ,'57 Chevy,2010,December,248
8,9 ,Highfly,2010,December,248
9,10 ,Pina Colada,2010,December,192
0,1 ,Sex On The Beach,2011,total,5881
1,2 ,Baby Aspirin,2011,total,4210
2,3 ,Caipirinha,2011,total,3985
3,4 ,Long Island Icetea,2011,total,3946
4,5 ,May Tai,2011,total,3913
5,6 ,Zombie,2011,total,3815
6,7 ,Mojito original,2011,total,3319
7,8 ,Pina Colada,2011,total,3074
8,9 ,'57 Chevy,2011,total,2875
9,10 ,Highfly,2011,total,2819
0,1 ,Grand Slam Trend,2011,January,1955
1,2 ,Sex On The Beach,2011,January,560
2,3 ,Baby Aspirin,2011,January,407
3,4 ,May Tai,2011,January,385
4,5 ,Caipirinha,2011,January,372
5,6 ,Long Island Icetea,2011,January,349
6,7 ,Zombie,2011,January,348
7,8 ,Mojito original,2011,January,292
8,9 ,'57 Chevy,2011,January,280
9,10 ,Highfly,2011,January,268
0,1 ,Sex On The Beach,2011,February,531
1,2 ,Baby Aspirin,2011,February,356
2,3 ,Caipirinha,2011,February,339
3,4 ,Long Island Icetea,2011,February,324
4,5 ,May Tai,2011,February,318
5,6 ,Zombie,2011,February,313
6,7 ,Mojito original,2011,February,255
7,8 ,'57 Chevy,2011,February,248
8,9 ,Highfly,2011,February,217
9,10 ,Pina Colada,2011,February,192
0,1 ,Sex On The Beach,2011,March,530
1,2 ,Baby Aspirin,2011,March,387
2,3 ,May Tai,2011,March,366
3,4 ,Long Island Icetea,2011,March,355
4,5 ,Caipirinha,2011,March,353
5,6 ,Zombie,2011,March,352
6,7 ,Mojito original,2011,March,259
7,8 ,'57 Chevy,2011,March,251
8,9 ,Highfly,2011,March,250
9,10 ,Irish Flag (alkoholisch),2011,March,194
0,1 ,Sex On The Beach,2011,April,489
1,2 ,Long Island Icetea,2011,April,341
2,3 ,Caipirinha,2011,April,336
3,4 ,Zombie,2011,April,327
4,5 ,Baby Aspirin,2011,April,326
5,6 ,May Tai,2011,April,314
6,7 ,Highfly,2011,April,265
7,8 ,Mojito original,2011,April,254
8,9 ,'57 Chevy,2011,April,242
9,10 ,Pina Colada,2011,April,200
0,1 ,Sex On The Beach,2011,May,554
1,2 ,Caipirinha,2011,May,378
2,3 ,Baby Aspirin,2011,May,359
3,4 ,Long Island Icetea,2011,May,356
4,5 ,May Tai,2011,May,336
5,6 ,Zombie,2011,May,326
6,7 ,Mojito original,2011,May,320
7,8 ,'57 Chevy,2011,May,251
8,9 ,Highfly,2011,May,236
9,10 ,Pina Colada,2011,May,184
0,1 ,Sex On The Beach,2011,June,607
1,2 ,Long Island Icetea,2011,June,427
2,3 ,Caipirinha,2011,June,424
3,4 ,Baby Aspirin,2011,June,410
4,5 ,May Tai,2011,June,406
5,6 ,Zombie,2011,June,391
6,7 ,Mojito original,2011,June,391
7,8 ,'57 Chevy,2011,June,288
8,9 ,Highfly,2011,June,284
9,10 ,Pina Colada,2011,June,222
0,1 ,Sex On The Beach,2011,July,520
1,2 ,Baby Aspirin,2011,July,388
2,3 ,May Tai,2011,July,378
3,4 ,Long Island Icetea,2011,July,358
4,5 ,Caipirinha,2011,July,355
5,6 ,Zombie,2011,July,333
6,7 ,Mojito original,2011,July,322
7,8 ,'57 Chevy,2011,July,240
8,9 ,Highfly,2011,July,236
9,10 ,Pina Colada,2011,July,194
0,1 ,Pina Colada,2011,August,1024
1,2 ,Sex On The Beach,2011,August,460
2,3 ,Absinth,2011,August,391
3,4 ,Baby Aspirin,2011,August,331
4,5 ,Long Island Icetea,2011,August,330
5,6 ,May Tai,2011,August,325
6,7 ,Caipirinha,2011,August,303
7,8 ,Zombie,2011,August,279
8,9 ,Mojito original,2011,August,254
9,10 ,'57 Chevy,2011,August,220
0,1 ,Sex On The Beach,2011,September,398
1,2 ,Baby Aspirin,2011,September,296
2,3 ,Caipirinha,2011,September,290
3,4 ,Zombie,2011,September,279
4,5 ,Long Island Icetea,2011,September,277
5,6 ,Mojito original,2011,September,259
6,7 ,May Tai,2011,September,255
7,8 ,Highfly,2011,September,218
